variant,N,P,imb,delta,rep,seconds,rc
parpseq,100000,4,40,0,1,0.012633,0
parpseq,100000,4,40,0,2,0.012418,0
parpseq,100000,4,40,0,3,0.012814,0
parpseq,100000,4,45,0,1,0.012895,0
parpseq,100000,4,45,0,2,0.012785,0
parpseq,100000,4,45,0,3,0.012318,0
parpseq,100000,4,50,0,1,0.012805,0
parpseq,100000,4,50,0,2,0.012479,0
parpseq,100000,4,50,0,3,0.012539,0
parpseq,100000,4,55,0,1,0.012555,0
parpseq,100000,4,55,0,2,0.012917,0
parpseq,100000,4,55,0,3,0.012766,0
parpseq,100000,4,60,0,1,0.013355,0
parpseq,100000,4,60,0,2,0.012839,0
parpseq,100000,4,60,0,3,0.013098,0
parpseq,100000,4,65,0,1,0.012791,0
parpseq,100000,4,65,0,2,0.012905,0
parpseq,100000,4,65,0,3,0.012840,0
parpseq,100000,4,70,0,1,0.012686,0
parpseq,100000,4,70,0,2,0.013168,0
parpseq,100000,4,70,0,3,0.012636,0
parpseq,100000,4,75,0,1,0.012941,0
parpseq,100000,4,75,0,2,0.012899,0
parpseq,100000,4,75,0,3,0.012915,0
parpseq,100000,4,80,0,1,0.013524,0
parpseq,100000,4,80,0,2,0.014471,0
parpseq,100000,4,80,0,3,0.012922,0
parpseq,100000,4,85,0,1,0.013220,0
parpseq,100000,4,85,0,2,0.012210,0
parpseq,100000,4,85,0,3,0.012720,0
parpseq,100000,4,90,0,1,0.012890,0
parpseq,100000,4,90,0,2,0.013482,0
parpseq,100000,4,90,0,3,0.012974,0
parpseq,100000,4,95,0,1,0.013408,0
parpseq,100000,4,95,0,2,0.012599,0
parpseq,100000,4,95,0,3,0.012949,0
parpseq,100000,4,100,0,1,0.082328,0
parpseq,100000,4,100,0,2,0.109082,0
parpseq,100000,4,100,0,3,0.076959,0
parpseq,100000,8,0,0,1,0.013357,0
parpseq,100000,8,0,0,2,0.013109,0
parpseq,100000,8,0,0,3,0.012939,0
parpseq,100000,8,5,0,1,0.014007,0
parpseq,100000,8,5,0,2,0.012927,0
parpseq,100000,8,5,0,3,0.013306,0
parpseq,100000,8,10,0,1,0.013923,0
parpseq,100000,8,10,0,2,0.014306,0
parpseq,100000,8,10,0,3,0.013659,0
parpseq,100000,8,15,0,1,0.012381,0
parpseq,100000,8,15,0,2,0.012858,0
parpseq,100000,8,15,0,3,0.013052,0
parpseq,100000,8,20,0,1,0.014601,0
parpseq,100000,8,20,0,2,0.012884,0
parpseq,100000,8,20,0,3,0.012534,0
parpseq,100000,8,25,0,1,0.012991,0
parpseq,100000,8,25,0,2,0.012544,0
parpseq,100000,8,25,0,3,0.012237,0
parpseq,100000,8,30,0,1,0.012855,0
parpseq,100000,8,30,0,2,0.012898,0
parpseq,100000,8,30,0,3,0.012679,0
parpseq,100000,8,35,0,1,0.013125,0
parpseq,100000,8,35,0,2,0.013166,0
parpseq,100000,8,35,0,3,0.012776,0
parpseq,100000,8,40,0,1,0.013211,0
parpseq,100000,8,40,0,2,0.013101,0
parpseq,100000,8,40,0,3,0.012952,0
parpseq,100000,8,45,0,1,0.013201,0
parpseq,100000,8,45,0,2,0.012691,0
parpseq,100000,8,45,0,3,0.013263,0
parpseq,100000,8,50,0,1,0.012878,0
parpseq,100000,8,50,0,2,0.012745,0
parpseq,100000,8,50,0,3,0.012561,0
parpseq,100000,8,55,0,1,0.012885,0
parpseq,100000,8,55,0,2,0.012590,0
parpseq,100000,8,55,0,3,0.012529,0
parpseq,100000,8,60,0,1,0.012846,0
parpseq,100000,8,60,0,2,0.012630,0
parpseq,100000,8,60,0,3,0.012551,0
parpseq,100000,8,65,0,1,0.013454,0
parpseq,100000,8,65,0,2,0.012743,0
parpseq,100000,8,65,0,3,0.012679,0
parpseq,100000,8,70,0,1,0.012793,0
parpseq,100000,8,70,0,2,0.012566,0
parpseq,100000,8,70,0,3,0.012491,0
parpseq,100000,8,75,0,1,0.012637,0
parpseq,100000,8,75,0,2,0.013071,0
parpseq,100000,8,75,0,3,0.012564,0
parpseq,100000,8,80,0,1,0.012850,0
parpseq,100000,8,80,0,2,0.012831,0
parpseq,100000,8,80,0,3,0.012592,0
parpseq,100000,8,85,0,1,0.012602,0
parpseq,100000,8,85,0,2,0.012315,0
parpseq,100000,8,85,0,3,0.012502,0
parpseq,100000,8,90,0,1,0.013082,0
parpseq,100000,8,90,0,2,0.012558,0
parpseq,100000,8,90,0,3,0.012297,0
parpseq,100000,8,95,0,1,0.013439,0
parpseq,100000,8,95,0,2,0.013366,0
parpseq,100000,8,95,0,3,0.014448,0
parpseq,100000,8,100,0,1,0.162881,0
parpseq,100000,8,100,0,2,0.213394,0
parpseq,100000,8,100,0,3,0.185434,0
parpseq,150000,1,0,0,1,0.012783,0
parpseq,150000,1,0,0,2,0.012798,0
parpseq,150000,1,0,0,3,0.012707,0
parpseq,150000,1,5,0,1,0.012912,0
parpseq,150000,1,5,0,2,0.012537,0
parpseq,150000,1,5,0,3,0.012396,0
parpseq,150000,1,10,0,1,0.012568,0
parpseq,150000,1,10,0,2,0.012503,0
parpseq,150000,1,10,0,3,0.012477,0
parpseq,150000,1,15,0,1,0.012851,0
parpseq,150000,1,15,0,2,0.012910,0
parpseq,150000,1,15,0,3,0.012560,0
parpseq,150000,1,20,0,1,0.013244,0
parpseq,150000,1,20,0,2,0.012540,0
parpseq,150000,1,20,0,3,0.012496,0
parpseq,150000,1,25,0,1,0.012586,0
parpseq,150000,1,25,0,2,0.012540,0
parpseq,150000,1,25,0,3,0.012397,0
parpseq,150000,1,30,0,1,0.013053,0
parpseq,150000,1,30,0,2,0.012931,0
parpseq,150000,1,30,0,3,0.013429,0
parpseq,150000,1,35,0,1,0.012154,0
parpseq,150000,1,35,0,2,0.012651,0
parpseq,150000,1,35,0,3,0.013019,0
parpseq,150000,1,40,0,1,0.013202,0
parpseq,150000,1,40,0,2,0.012782,0
parpseq,150000,1,40,0,3,0.014417,0
parpseq,150000,1,45,0,1,0.012824,0
parpseq,150000,1,45,0,2,0.013277,0
parpseq,150000,1,45,0,3,0.012907,0
parpseq,150000,1,50,0,1,0.013025,0
parpseq,150000,1,50,0,2,0.012482,0
parpseq,150000,1,50,0,3,0.012495,0
parpseq,150000,1,55,0,1,0.012804,0
parpseq,150000,1,55,0,2,0.012710,0
parpseq,150000,1,55,0,3,0.012900,0
parpseq,150000,1,60,0,1,0.012790,0
parpseq,150000,1,60,0,2,0.012869,0
parpseq,150000,1,60,0,3,0.012675,0
parpseq,150000,1,65,0,1,0.012661,0
parpseq,150000,1,65,0,2,0.012711,0
parpseq,150000,1,65,0,3,0.012774,0
parpseq,150000,1,70,0,1,0.013255,0
parpseq,150000,1,70,0,2,0.012854,0
parpseq,150000,1,70,0,3,0.013018,0
parpseq,150000,1,75,0,1,0.013402,0
parpseq,150000,1,75,0,2,0.012623,0
parpseq,150000,1,75,0,3,0.012856,0
parpseq,150000,1,80,0,1,0.013253,0
parpseq,150000,1,80,0,2,0.012881,0
parpseq,150000,1,80,0,3,0.012813,0
parpseq,150000,1,85,0,1,0.013377,0
parpseq,150000,1,85,0,2,0.013083,0
parpseq,150000,1,85,0,3,0.012444,0
parpseq,150000,1,90,0,1,0.012512,0
parpseq,150000,1,90,0,2,0.012601,0
parpseq,150000,1,90,0,3,0.012636,0
parpseq,150000,1,95,0,1,0.013049,0
parpseq,150000,1,95,0,2,0.012677,0
parpseq,150000,1,95,0,3,0.012908,0
parpseq,150000,1,100,0,1,0.012759,0
parpseq,150000,1,100,0,2,0.012615,0
parpseq,150000,1,100,0,3,0.012349,0
parpseq,150000,2,0,0,1,0.012879,0
parpseq,150000,2,0,0,2,0.012846,0
parpseq,150000,2,0,0,3,0.013665,0
parpseq,150000,2,5,0,1,0.012838,0
parpseq,150000,2,5,0,2,0.012483,0
parpseq,150000,2,5,0,3,0.012577,0
parpseq,150000,2,10,0,1,0.012763,0
parpseq,150000,2,10,0,2,0.012679,0
parpseq,150000,2,10,0,3,0.012453,0
parpseq,150000,2,15,0,1,0.012777,0
parpseq,150000,2,15,0,2,0.012676,0
parpseq,150000,2,15,0,3,0.012537,0
parpseq,150000,2,20,0,1,0.012770,0
parpseq,150000,2,20,0,2,0.012620,0
parpseq,150000,2,20,0,3,0.012494,0
parpseq,150000,2,25,0,1,0.012698,0
parpseq,150000,2,25,0,2,0.012880,0
parpseq,150000,2,25,0,3,0.012601,0
parpseq,150000,2,30,0,1,0.012502,0
parpseq,150000,2,30,0,2,0.013138,0
parpseq,150000,2,30,0,3,0.012614,0
parpseq,150000,2,35,0,1,0.012720,0
parpseq,150000,2,35,0,2,0.012835,0
parpseq,150000,2,35,0,3,0.013018,0
parpseq,150000,2,40,0,1,0.012862,0
parpseq,150000,2,40,0,2,0.012869,0
parpseq,150000,2,40,0,3,0.012263,0
