variant,N,cutoff,P,rep,seconds,checksum,expected
ribault_rust,3000000,512,19,1,0.093204799,3299331579,3299331579
ribault_rust,3000000,512,19,2,0.099596398,3299331579,3299331579
ribault_rust,3000000,512,19,3,0.105605890,3299331579,3299331579
ribault_rust,3000000,512,19,4,0.089607184,3299331579,3299331579
ribault_rust,3000000,512,19,5,0.096977892,3299331579,3299331579
ribault_rust,3000000,512,19,6,0.099618861,3299331579,3299331579
ribault_rust,3000000,512,19,7,0.104121485,3299331579,3299331579
ribault_hs,3000000,512,19,1,0.131468725,3299331579,3299331579
ribault_hs,3000000,512,19,2,0.125842910,3299331579,3299331579
ribault_hs,3000000,512,19,3,0.127485001,3299331579,3299331579
ribault_hs,3000000,512,19,4,0.125636966,3299331579,3299331579
ribault_hs,3000000,512,19,5,0.122427509,3299331579,3299331579
ribault_hs,3000000,512,19,6,0.131745744,3299331579,3299331579
ribault_hs,3000000,512,19,7,0.127619151,3299331579,3299331579
strategies,3000000,512,19,1,0.202294629,3299331579,3299331579
strategies,3000000,512,19,2,0.227715289,3299331579,3299331579
strategies,3000000,512,19,3,0.197063177,3299331579,3299331579
strategies,3000000,512,19,4,0.276006483,3299331579,3299331579
strategies,3000000,512,19,5,0.274372631,3299331579,3299331579
strategies,3000000,512,19,6,0.273033214,3299331579,3299331579
strategies,3000000,512,19,7,0.276619457,3299331579,3299331579
parpseq,3000000,512,19,1,0.374512202,3299331579,3299331579
parpseq,3000000,512,19,2,0.610757139,3299331579,3299331579
parpseq,3000000,512,19,3,0.610448563,3299331579,3299331579
parpseq,3000000,512,19,4,0.379593117,3299331579,3299331579
parpseq,3000000,512,19,5,0.376630454,3299331579,3299331579
parpseq,3000000,512,19,6,0.611102639,3299331579,3299331579
parpseq,3000000,512,19,7,0.611217758,3299331579,3299331579
sucuri,3000000,512,19,1,0.2522772178053856,3299331579,3299331579
sucuri,3000000,512,19,2,0.22572936490178108,3299331579,3299331579
sucuri,3000000,512,19,3,0.2195589505136013,3299331579,3299331579
sucuri,3000000,512,19,4,0.24743777140974998,3299331579,3299331579
sucuri,3000000,512,19,5,0.22414007410407066,3299331579,3299331579
sucuri,3000000,512,19,6,0.2566125616431236,3299331579,3299331579
sucuri,3000000,512,19,7,0.25933704897761345,3299331579,3299331579
ribault_c,3000000,512,23,1,0.092565395,3299331579,3299331579
ribault_c,3000000,512,23,2,0.096059306,3299331579,3299331579
ribault_c,3000000,512,23,3,0.107416202,3299331579,3299331579
ribault_c,3000000,512,23,4,0.107084850,3299331579,3299331579
ribault_c,3000000,512,23,5,0.110686672,3299331579,3299331579
ribault_c,3000000,512,23,6,0.104468370,3299331579,3299331579
ribault_c,3000000,512,23,7,0.107470148,3299331579,3299331579
ribault_rust,3000000,512,23,1,0.100762371,3299331579,3299331579
ribault_rust,3000000,512,23,2,0.104286256,3299331579,3299331579
ribault_rust,3000000,512,23,3,0.094837870,3299331579,3299331579
ribault_rust,3000000,512,23,4,0.090425619,3299331579,3299331579
ribault_rust,3000000,512,23,5,0.092714675,3299331579,3299331579
ribault_rust,3000000,512,23,6,0.096791175,3299331579,3299331579
ribault_rust,3000000,512,23,7,0.093742236,3299331579,3299331579
ribault_hs,3000000,512,23,1,0.120004820,3299331579,3299331579
ribault_hs,3000000,512,23,2,0.125391533,3299331579,3299331579
ribault_hs,3000000,512,23,3,0.119545286,3299331579,3299331579
ribault_hs,3000000,512,23,4,0.123070031,3299331579,3299331579
ribault_hs,3000000,512,23,5,0.125895829,3299331579,3299331579
ribault_hs,3000000,512,23,6,0.131823458,3299331579,3299331579
ribault_hs,3000000,512,23,7,0.122711010,3299331579,3299331579
strategies,3000000,512,23,1,0.198912837,3299331579,3299331579
strategies,3000000,512,23,2,0.192408535,3299331579,3299331579
strategies,3000000,512,23,3,0.266624211,3299331579,3299331579
strategies,3000000,512,23,4,0.183895304,3299331579,3299331579
strategies,3000000,512,23,5,0.184945773,3299331579,3299331579
strategies,3000000,512,23,6,0.272400068,3299331579,3299331579
strategies,3000000,512,23,7,0.181836723,3299331579,3299331579
parpseq,3000000,512,23,1,0.610745766,3299331579,3299331579
parpseq,3000000,512,23,2,0.611615553,3299331579,3299331579
parpseq,3000000,512,23,3,0.612901598,3299331579,3299331579
parpseq,3000000,512,23,4,0.619570807,3299331579,3299331579
parpseq,3000000,512,23,5,0.35311225,3299331579,3299331579
parpseq,3000000,512,23,6,0.612899422,3299331579,3299331579
parpseq,3000000,512,23,7,0.610134363,3299331579,3299331579
sucuri,3000000,512,23,1,0.23413054272532463,3299331579,3299331579
sucuri,3000000,512,23,2,0.24990829080343246,3299331579,3299331579
sucuri,3000000,512,23,3,0.25432388857007027,3299331579,3299331579
